"lambda","Train_Return","Train_Risk","Train_Sharpe","Test_Return","Test_Risk","Test_Sharpe"
0.2,0.0010491415670767,0.00986262464120777,0.106375493871399,6.07769622134413e-05,0.00758129244054678,0.00801670199244522
0.4,0.000963177483727689,0.00969716972970192,0.0993256290830434,0.000178921992255462,0.0073463510769866,0.024355219398098
0.6,0.000921473064888781,0.00965313894145903,0.0954583861764558,0.000244880747284518,0.00720414323109425,0.0339916544451217
0.8,0.000887675032386556,0.00963808325213455,0.092100784893092,0.000184868497606753,0.00732205874775767,0.025248158199136
1,0.000874484745396949,0.00964319469805244,0.0906841324663456,0.000205559738077368,0.00726842172381118,0.0282812068270556
