"Dataset","Return","Risk","Sharpe","Annual_Return","Annual_Risk"
"Train",0.000943558344373138,0.00969312610673241,0.0973430381471861,NA,NA
"Test",0.000164724279006308,0.00735999713280473,0.0223810248881898,NA,NA
