"train_ret","train_risk","train_sharpe","test_ret","test_risk","test_sharpe"
0.00063450121224603,0.0116489242242858,0.0544686530729776,0.00061452119738895,0.0086673297898169,0.0709008670826096
0.000700836802288701,0.0117973482697494,0.0594062993025118,0.000414766788713383,0.00834690028787754,0.049691115792501
0.000841486216820578,0.0107478673979611,0.0782933195640473,0.00044591687178682,0.00754900576698003,0.0590696159933136
0.000620883946020098,0.0113895060421946,0.0545136851168009,0.000515404233139135,0.00828630621862568,0.0621995156274369
0.00084155910809877,0.0109423140140361,0.0769086965535146,0.00059227709202371,0.00784557792684838,0.0754918372548282
0.000889491999651909,0.0101498730245651,0.0876357760830235,0.000346478729193103,0.00731343662150642,0.0473756384480345
0.0007802316308205,0.0102593428603415,0.0760508388735659,0.000261574019959955,0.00738393950439396,0.035424724133276
0.000684058677181339,0.0106898595271726,0.0639913626032718,0.000444269019895164,0.00763985737170528,0.0581514808824238
0.000799713327479866,0.0105768524871469,0.0756097646678621,0.000750756330218049,0.00755626342930784,0.0993554998765864
0.00076166543352666,0.0110590567040738,0.0688725497940606,0.00027167057207949,0.00792285348898505,0.034289485784028
0.000689495606195098,0.0114006454845496,0.060478646330115,0.000284405675470692,0.00802674921562877,0.0354322363674861
0.000753327379935716,0.0109144528518629,0.0690210851758032,0.0004330292270265,0.00796720099904006,0.054351487690429
0.000734822530231033,0.0112178496229816,0.0655047584811289,0.000330595418113344,0.00785368447885461,0.0420943086017072
0.000727885902452881,0.0109455341356747,0.066500720150375,0.000452593197808557,0.0076692016830487,0.0590143820065298
0.000727288899776338,0.0107858943553457,0.0674296331686096,0.000544243647158851,0.00800183488908656,0.0680148559302476
0.000599723580734094,0.011221569085344,0.0534438255624488,0.000529810940708541,0.0082024093647213,0.0645921115553274
0.000771584058396947,0.0103225439789065,0.0747474711634685,0.000494072385391418,0.00725282677942409,0.0681213546686481
0.00076003404786948,0.0104678765332305,0.0726063252137852,0.000479414127734072,0.0078238558770341,0.0612759405680426
0.000771647534873407,0.0107624939799526,0.0716978366083887,0.000289312259869135,0.0080323314711329,0.036018466233482
0.000687111772997787,0.0103387044913632,0.0664601424261416,0.000564660684816441,0.00713495079094896,0.0791400951962754
0.000777749697997161,0.0103553149271727,0.0751063297897698,0.000319785978868303,0.00778752388489998,0.0410638841812567
0.000775508157802226,0.0108260286052703,0.0716336697489137,0.000327476143770223,0.00753203133943809,0.0434777988848164
0.000815745218447122,0.0107856106227869,0.0756327339245572,0.000313933956228125,0.00763198858205547,0.0411339656569003
0.000740459821693304,0.0114467863897559,0.064687135452791,0.000406729822460538,0.00826437329330796,0.0492148415887609
0.000816921535931767,0.0104733163983866,0.0780002727748789,0.000333255864605561,0.00751570552671847,0.0443412615649762
0.000813246767073333,0.0107168769838181,0.075884678745617,0.000600456773155132,0.00773270705219427,0.0776515609736882
0.000764265826361776,0.0111944974719658,0.0682715618343491,0.000408465262495872,0.00785699467667065,0.0519874684029895
0.000739142319538538,0.0106404598334253,0.0694652610046645,0.000252049091401179,0.0077659341564769,0.032455733762688
0.000732615875546282,0.0112483402585251,0.065131020106814,0.000451921345464788,0.00786532689820398,0.0574574142071556
0.00076593576019835,0.0111045310442755,0.0689750658667571,0.000129951711294556,0.00835189357525055,0.0155595506723944
0.000686603732459041,0.0109176085361967,0.0628895723988129,0.00056687881743659,0.00756238955812759,0.0749602771821433
0.00073958832935236,0.0109152483192619,0.0677573526245136,0.000248975139742901,0.00809978194017309,0.0307384990832951
0.000632405199396721,0.0109887841029082,0.057550061360233,0.000420848267777165,0.00781355416615984,0.0538613105927953
